Min,Max,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9
10,25,190,190,190,190,190,200,200,200,200,200,210,210,230,230,230,250,250,260,260,260,260,240,240,210,210,210,160,160,160,160,150,120,120,90,90,90
25,50,280,280,280,290,290,290,290,290,310,310,330,330,350,350,350,380,380,380,350,350,350,320,320,270,270,270,200,200,200,200,180,140,140,100,100,100
50,75,380,380,380,390,390,400,400,400,430,430,460,460,490,490,490,500,490,490,430,430,430,390,390,320,320,320,220,220,220,220,200,160,160,110,110,110
75,100,450,450,450,470,470,480,480,480,530,530,560,560,590,590,590,590,560,560,490,490,490,440,440,350,350,350,240,240,240,240,210,170,170,120,120,120
100,125,510,510,510,530,530,550,550,550,610,610,640,640,670,650,650,650,610,610,530,530,530,470,470,370,370,370,250,250,250,250,220,170,170,120,120,120
125,150,560,560,560,590,590,620,620,620,670,670,710,710,730,710,710,710,660,660,570,570,570,500,500,390,390,390,260,260,260,260,230,180,180,120,120,120
150,175,610,610,610,640,640,670,670,670,740,740,770,770,790,750,750,750,700,700,600,600,600,520,520,400,400,400,260,260,260,260,230,180,180,130,130,130
175,200,650,650,650,690,690,720,720,720,790,790,830,830,840,790,790,790,730,730,620,620,620,540,540,420,420,420,270,270,270,270,240,190,190,130,130,130
200,300,690,690,690,730,730,770,770,770,840,840,880,880,890,830,830,830,760,760,640,640,640,560,560,430,430,430,270,270,270,270,240,190,190,130,130,130
300,400,830,830,830,880,880,940,940,940,1000,1000,1000,1000,1000,940,940,940,860,860,710,710,710,610,610,460,460,460,290,290,290,290,260,200,200,140,140,140
400,670,940,940,940,1000,1000,1100,1100,1100,1200,1200,1200,1200,1200,1000,1000,1000,930,930,770,770,770,650,650,480,480,480,300,300,300,300,270,210,210,140,140,140
670,100000,1200,1200,1200,1300,1300,1400,1400,1400,1500,1400,1400,1400,1400,1200,1200,1200,1100,1100,860,860,860,720,720,520,520,520,320,320,320,320,280,220,220,150,150,150
