ID,Name,twoyear,fiveyear,tenyear,twentyyear,fiftyyear,onehundredyear,twohundredyear,fivehundredyear,thousandyear,twothousandyear,LSL,FSL,Flag_Level,Note
09AE002,Teslin Lake at Teslin ,6.845,7.595,8.005,8.365,8.775,9.065,9.325,,,,,,8.71,Smarchville/Bowville flood threshold
09AA004,Bennett Lake at Carcross,2.564,2.894,3.094,3.264,3.484,3.634,3.784,,,,,,3,Minor flood threshold
09AA017,Tagish Lake at 10 Mile,7.416,7.766,7.986,8.196,8.466,8.666,8.866,,,,,,7.9,Minor flood threshold
09AB004,Marsh Lake near Whitehorse ,3.028,3.388,3.598,3.778,4.008,4.158,4.308,,,,0.443,2.873,3.343,Septic/well/basement impacts
09AB010,Lake Laberge near Whitehorse,8.41,8.76,8.98,9.19,9.44,9.63,9.81,,,,,,9.12,Minor flood threshold
10AA001,Liard at Upper Crossing,5.277,6.177,6.727,7.217,7.807,8.227,8.627,,,,,,6.177,Bankfull Flood Stage
09DC006,Stewart River near Mayo ,7.527,8.297,8.757,9.157,9.637,9.977,10.307,,,,,,6.5,Basement pumping requ'd
09BC001,Pelly River at Pelly Crossing,4.077,4.767,5.167,5.527,5.947,6.257,6.547,,,,,,,
09BC002,Pelly River at Ross River,3.136,3.566,3.816,4.036,4.306,4.486,4.666,,,,,,3.45,Ferry operation threshold
09AB001,Yukon River at Whitehorse,31.09,31.35,31.52,31.7,31.94,32.12,32.31,,,,,,31.25,YEC notification threshold
09AH001,Yukon River at Carmacks,4.488,4.968,5.238,5.458,5.718,5.898,6.058,,,,,,5.8,Impacts to River Dr imminent
09EB001,Yukon River at Dawson ,4.424,5.154,5.544,5.864,6.234,6.484,6.714,,,,,,5.774,Possible manhole back-up
09EA003,Klondike River above Bonanza,2.919,3.559,3.959,4.329,4.779,5.109,5.419,,,,,,2.6,Minor flood threshold
09FD003,Porcupine River Below Old Crow,15.548,16.268,16.678,17.028,17.458,17.748,18.028,,,,,,15.5,Minor flood threshold
